0	NA	2473	5625
1	NA	4098	4505
2	NA	2148	9866
3	NA	7088	8315
4	NA	5989	8564
5	NA	510	2064
6	NA	2145	2942
7	NA	9895	2646
8	NA	3220	5051
9	NA	6729	6715
10	NA	17	5375
11	NA	3826	1500
12	NA	3640	718
13	NA	9475	7870
14	NA	1667	2834
15	NA	2908	345
16	NA	1805	708
17	NA	2137	8662
18	NA	2807	989
19	NA	6490	6537
20	NA	4642	1659
21	NA	2709	4255
22	NA	9074	2260
23	NA	8712	5081
24	NA	2591	2482
25	NA	856	3725
26	NA	2942	1446
27	NA	2328	8953
28	NA	5422	1151
29	NA	9832	3447
30	NA	6823	8641
31	NA	8310	5392
32	NA	6363	4834
33	NA	6943	7805
34	NA	4017	4078
35	NA	486	9968
36	NA	7765	9167
37	NA	4676	1801
38	NA	3856	6234
39	NA	8096	6717
40	NA	7733	6770
41	NA	9648	984
42	NA	4546	152
43	NA	5729	2371
44	NA	5588	2993
45	NA	6581	8299
46	NA	762	6439
47	NA	6168	3192
48	NA	9908	830
49	NA	7056	540
50	NA	3144	4979
51	NA	6272	6609
52	NA	2379	8085
53	NA	1552	5304
54	NA	785	3535
55	NA	2898	8172
56	NA	6795	1778
57	NA	2048	6908
58	NA	2268	4673
59	NA	8447	2138
60	NA	9544	5736
61	NA	948	3128
62	NA	94	6245
63	NA	3651	1192
64	NA	9475	7660
65	NA	544	8095
66	NA	3110	7759
67	NA	416	8921
68	NA	566	4208
69	NA	8667	7950
70	NA	1187	3163
71	NA	4660	4259
72	NA	8599	3077
73	NA	6360	3790
74	NA	3036	4055
75	NA	1227	5402
76	NA	4776	6463
77	NA	7451	6622
78	NA	152	6738
79	NA	1290	4501
80	NA	4101	1223
81	NA	8042	3487
82	NA	120	7956
83	NA	6096	1980
84	NA	4963	6371
85	NA	3134	5095
86	NA	391	1789
87	NA	2652	881
88	NA	6415	6969
89	NA	3832	8535
90	NA	743	8496
91	NA	9409	9173
92	NA	7901	7779
93	NA	3109	1438
94	NA	2522	4116
95	NA	1116	3662
96	NA	1518	5419
97	NA	4024	7178
98	NA	160	2125
99	NA	829	9502
100	NA	5998	7261
101	NA	3058	9304
102	NA	6081	3910
103	NA	7011	5936
104	NA	6360	3731
105	NA	8232	2875
106	NA	2407	7264
107	NA	8642	3173
108	NA	7255	3082
109	NA	2964	3030
110	NA	2377	8333
111	NA	4795	9311
112	NA	8378	1542
113	NA	5515	3042
114	NA	3286	8414
115	NA	6604	8015
116	NA	9238	6433
117	NA	7508	1105
118	NA	87	9796
119	NA	6144	3284
120	NA	5291	5491
121	NA	402	7272
122	NA	9688	9292
123	NA	7134	3486
124	NA	7872	1109
125	NA	7742	2118
126	NA	7941	8574
127	NA	4147	7762
128	NA	5876	1606
129	NA	9631	9896
130	NA	5865	3127
131	NA	9513	4781
132	NA	6682	9380
133	NA	856	9810
134	NA	9375	8914
135	NA	3391	3487
136	NA	9215	2940
137	NA	4492	3725
138	NA	9171	2064
139	NA	8038	6526
140	NA	8117	9884
141	NA	9805	2896
142	NA	7373	2838
143	NA	22	9492
144	NA	9827	3925
145	NA	2543	8842
146	NA	4421	9963
147	NA	6897	8856
148	NA	3305	1959
149	NA	7658	8858
150	NA	2468	9921
151	NA	3957	8615
152	NA	861	6813
